iter	Passed	Remaining
414	3340	4708
415	3347	4699
416	3356	4692
417	3363	4683
418	3372	4675
419	3379	4667
420	3387	4659
421	3395	4650
422	3406	4646
423	3415	4639
424	3428	4638
425	3437	4632
426	3447	4626
427	3463	4628
428	3475	4625
429	3483	4617
430	3491	4609
431	3499	4601
432	3507	4593
433	3515	4584
434	3523	4575
435	3530	4567
436	3539	4560
437	3547	4552
438	3555	4543
439	3563	4534
440	3572	4528
441	3579	4519
442	3588	4512
443	3596	4503
444	3604	4495
445	3611	4486
446	3620	4478
447	3629	4471
448	3638	4464
449	3648	4459
450	3657	4452
451	3667	4445
452	3675	4438
453	3684	4430
454	3691	4421
455	3699	4413
456	3707	4405
457	3715	4397
458	3723	4388
459	3731	4380
460	3738	4371
461	3747	4363
462	3754	4354
463	3762	4346
464	3770	4337
465	3778	4329
466	3785	4321
467	3793	4312
468	3801	4304
469	3809	4295
470	3817	4287
471	3825	4279
472	3835	4273
473	3847	4269
474	3857	4263
475	3866	4256
476	3875	4249
477	3884	4242
478	3893	4234
479	3901	4226
480	3909	4218
481	3917	4209
482	3925	4201
483	3933	4193
484	3941	4184
485	3949	4176
486	3956	4168
487	3964	4159
488	3972	4151
489	3979	4142
490	3987	4133
491	3995	4125
492	4002	4116
493	4014	4112
494	4024	4105
495	4034	4099
496	4045	4094
497	4054	4086
498	4063	4079
499	4070	4070
500	4078	4062
501	4085	4053
502	4092	4044
503	4100	4035
504	4107	4026
505	4114	4016
506	4121	4007
507	4128	3998
508	4136	3990
509	4144	3981
510	4152	3973
511	4159	3964
512	4167	3956
513	4175	3947
514	4182	3938
515	4190	3930
516	4197	3921
517	4208	3916
518	4217	3908
519	4228	3903
520	4239	3897
521	4250	3892
522	4258	3883
523	4265	3875
524	4273	3866
525	4280	3857
526	4287	3848
527	4295	3839
528	4302	3830
529	4309	3821
530	4316	3812
531	4324	3803
532	4331	3794
533	4338	3786
534	4345	3777
535	4353	3768
536	4360	3759
537	4367	3750
538	4374	3741
539	4385	3735
540	4392	3727
541	4400	3718
542	4407	3709
543	4415	3700
544	4422	3692
545	4432	3685
546	4444	3680
547	4451	3671
548	4459	3663
549	4469	3656
550	4476	3647
551	4483	3639
552	4491	3630
553	4498	3621
554	4505	3612
555	4512	3603
556	4520	3594
557	4527	3586
558	4534	3577
559	4541	3568
560	4549	3559
561	4556	3551
562	4563	3542
563	4570	3533
564	4578	3524
565	4585	3515
566	4592	3507
567	4599	3498
568	4606	3489
569	4613	3480
570	4621	3471
571	4628	3463
572	4639	3457
573	4649	3450
574	4659	3443
575	4668	3436
576	4678	3429
577	4685	3421
578	4696	3414
579	4704	3406
580	4712	3398
581	4719	3389
582	4726	3380
583	4734	3372
584	4741	3363
585	4748	3355
586	4756	3346
587	4763	3337
588	4770	3329
589	4778	3320
590	4785	3311
591	4792	3303
592	4800	3294
593	4807	3285
594	4814	3277
595	4821	3268
596	4830	3260
597	4840	3253
598	4850	3247
599	4860	3240
600	4868	3231
601	4875	3223
602	4882	3214
603	4890	3206
604	4897	3197
605	4904	3188
606	4912	3180
607	4919	3171
608	4926	3162
609	4933	3154
610	4941	3145
611	4948	3137
612	4956	3128
613	4963	3120
614	4970	3111
615	4977	3103
616	4985	3094
617	4992	3085
618	4999	3077
619	5006	3068
620	5014	3060
621	5021	3051
622	5030	3043
623	5039	3036
624	5050	3030
625	5058	3021
626	5067	3014
627	5075	3006
628	5083	2998
629	5091	2990
630	5099	2982
631	5106	2973
632	5114	2965
633	5121	2956
634	5129	2948
635	5136	2939
636	5143	2931
637	5151	2922
638	5158	2914
639	5165	2905
640	5172	2897
641	5179	2888
642	5187	2880
643	5194	2871
644	5201	2863
645	5209	2854
646	5216	2846
647	5223	2837
648	5235	2831
649	5245	2824
650	5252	2815
651	5261	2808
652	5269	2800
653	5277	2791
654	5284	2783
655	5291	2774
656	5298	2766
657	5306	2757
658	5313	2749
659	5320	2741
660	5328	2732
661	5335	2724
662	5342	2715
663	5349	2707
664	5357	2698
665	5364	2690
666	5371	2681
667	5379	2673
668	5386	2665
669	5393	2656
670	5401	2648
671	5408	2639
672	5416	2631
673	5423	2623
674	5431	2614
675	5440	2607
676	5450	2600
677	5460	2593
678	5467	2584
679	5474	2576
680	5481	2567
681	5489	2559
682	5496	2551
683	5503	2542
684	5510	2534
685	5518	2525
686	5525	2517
687	5532	2509
688	5539	2500
689	5547	2492
690	5554	2483
691	5561	2475
692	5568	2466
693	5575	2458
694	5583	2450
695	5590	2441
696	5597	2433
697	5604	2425
698	5612	2416
699	5619	2408
700	5626	2399
701	5633	2391
702	5645	2385
703	5655	2378
704	5664	2370
705	5673	2362
706	5681	2354
707	5688	2346
708	5695	2337
709	5703	2329
710	5710	2321
711	5717	2312
712	5724	2304
713	5732	2296
714	5739	2287
715	5747	2279
716	5755	2271
717	5763	2263
718	5770	2255
719	5780	2248
720	5789	2240
721	5800	2233
722	5808	2225
723	5817	2217
724	5824	2209
725	5833	2201
726	5840	2193
727	5850	2185
728	5857	2177
729	5871	2171
730	5881	2164
731	5888	2156
732	5900	2149
733	5908	2141
734	5916	2133
735	5924	2125
736	5932	2117
737	5939	2108
738	5948	2100
739	5956	2092
740	5964	2084
741	5972	2076
742	5980	2068
743	5988	2060
744	5996	2052
745	6004	2044
746	6012	2036
747	6019	2027
748	6026	2019
749	6033	2011
750	6041	2003
751	6050	1995
752	6060	1987
753	6070	1980
754	6079	1972
755	6088	1964
756	6097	1957
757	6106	1949
758	6113	1941
759	6121	1933
760	6129	1925
761	6137	1916
762	6145	1908
763	6153	1900
764	6160	1892
765	6169	1884
766	6176	1876
767	6184	1868
768	6192	1860
769	6200	1851
770	6208	1844
771	6216	1835
772	6224	1827
773	6231	1819
774	6239	1811
775	6249	1803
776	6259	1796
777	6270	1789
778	6279	1781
779	6289	1773
780	6297	1765
781	6305	1757
782	6313	1749
783	6321	1741
784	6329	1733
785	6337	1725
786	6344	1717
787	6353	1709
788	6361	1701
789	6369	1693
790	6377	1685
791	6385	1677
792	6397	1670
793	6405	1661
794	6412	1653
795	6420	1645
796	6427	1637
797	6434	1628
798	6441	1620
799	6452	1613
800	6459	1604
801	6472	1598
802	6482	1590
803	6490	1582
804	6498	1574
805	6506	1565
806	6514	1557
807	6521	1549
808	6529	1541
809	6537	1533
810	6545	1525
811	6552	1517
812	6560	1508
813	6568	1500
814	6576	1492
815	6583	1484
816	6591	1476
817	6599	1468
818	6606	1460
819	6617	1452
820	6627	1444
821	6636	1437
822	6645	1429
823	6653	1421
824	6661	1413
825	6671	1405
826	6681	1397
827	6689	1389
828	6696	1381
829	6703	1373
830	6712	1365
831	6719	1356
832	6727	1348
833	6734	1340
834	6742	1332
835	6749	1324
836	6757	1315
837	6764	1307
838	6771	1299
839	6778	1291
